Altium Designer Pick and Place Locations
C:\Users\ga92wum\git\UltraZohm\PCB\uz_d_voltage_3v3_5v\Project Outputs for UZ_D_Voltage_3V3_5V\Rev01\Pick Place\Pick Place for UZ_D_Voltage_3V3_5V(Default).csv

========================================================================================================================
File Design Information:

Date:       23.12.24
Time:       21:30
Revision:   93c16c32d42b4dae978391e18bb25c258be07fc7
Variant:    Default
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer"
"F3","1812_PTC_Polyfuse_Littelfuse","13.7000","13.7000","76.4000","76.4000","11.3100","76.4000","0","Littelfuse_PTC_1812","TopLayer"
"F2","1812_PTC_Polyfuse_Littelfuse","13.7000","13.7000","80.7000","80.7000","11.3100","80.7000","0","Littelfuse_PTC_1812","TopLayer"
"F1","1812_PTC_Polyfuse_Littelfuse","13.7000","13.7000","85.0000","85.0000","11.3100","85.0000","0","Littelfuse_PTC_1812","TopLayer"
"SW1","416131160804","73.7000","73.7000","49.9000","49.9000","69.8900","51.8050","270","DSHP04TS-S","TopLayer"
"C11","C_0603_TE","37.8000","37.8000","82.3000","82.3000","37.8000","81.5300","180","100 nF","TopLayer"
"C10","C_0603_TE","37.8000","37.8000","88.8000","88.8000","37.8000","88.0300","180","100 nF","TopLayer"
"C9","C_0603_TE","104.9000","104.9000","21.0000","21.0000","104.1300","21.0000","90","100 nF","TopLayer"
"C8","C_0603_TE","104.9000","104.9000","65.0000","65.0000","104.1300","65.0000","90","100 nF","TopLayer"
"C7","C_0603_TE","99.0000","99.0000","21.0000","21.0000","99.7700","21.0000","270","100 nF","TopLayer"
"C6","C_0603_TE","99.0000","99.0000","65.0000","65.0000","99.7700","65.0000","270","100 nF","TopLayer"
"C5","C_0603_TE","104.9000","104.9000","43.0000","43.0000","104.1300","43.0000","90","100 nF","TopLayer"
"C4","C_0603_TE","104.9000","104.9000","87.0000","87.0000","104.1300","87.0000","90","100 nF","TopLayer"
"C3","C_0603_TE","98.9000","98.9000","43.0000","43.0000","99.6700","43.0000","270","100 nF","TopLayer"
"C2","C_0603_TE","99.0000","99.0000","87.0000","87.0000","99.7700","87.0000","270","100 nF","TopLayer"
"C1","C_0603_TE","16.6000","16.6000","35.2972","35.2972","17.3700","35.2972","270","100 nF","TopLayer"
"U1","D0008A_N","14.5000","14.5000","31.9000","31.9000","11.7750","33.8050","0","M24C02-WMN6TP","TopLayer"
"TP4","FP-5015-MFG","48.5000","48.5000","81.5000","81.5000","48.5000","81.5000","0","5015","TopLayer"
"TP2","FP-5015-MFG","48.5000","48.5000","88.0000","88.0000","48.5000","88.0000","0","5015","TopLayer"
"X2","IPL1-115-01-XX-D-RA","145.0000","134.0780","76.9000","76.9000","135.3480","94.6800","270","IPL1-115-01-L-D-RA-K","TopLayer"
