Altium Designer Pick and Place Locations
C:\altium\uz_d_voltage_3v3_5v\Project Outputs for UZ_D_Voltage_3V3_5V\Rev03\Pick Place\Pick Place for UZ_D_Voltage_3V3_5V(100k_pulldown_IOs).csv

========================================================================================================================
File Design Information:

Date:       21.11.25
Time:       11:07
Revision:   4b903560c167895edf9eebd2659b2e693a01b35a
Variant:    100k_pulldown_IOs
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer"
"F3","1812_PTC_Polyfuse_Littelfuse","8.9000","8.9000","85.3000","85.3000","6.5100","85.3000","0","Littelfuse_PTC_1812","TopLayer"
"F2","1812_PTC_Polyfuse_Littelfuse","8.9000","8.9000","89.6000","89.6000","6.5100","89.6000","0","Littelfuse_PTC_1812","TopLayer"
"F1","1812_PTC_Polyfuse_Littelfuse","8.9000","8.9000","93.9000","93.9000","6.5100","93.9000","0","Littelfuse_PTC_1812","TopLayer"
"SW1","416131160804","73.7000","73.7000","49.9000","49.9000","69.8900","51.8050","270","DSHP04TS-S","TopLayer"
"C15","C_0603_TE","25.8000","25.8000","85.0000","85.0000","25.0300","85.0000","90","1 µF","TopLayer"
"C14","C_0603_TE","28.4000","28.4000","86.8000","86.8000","29.1700","86.8000","270","220 nF","TopLayer"
"C13","C_0603_TE","25.8000","25.8000","94.0000","94.0000","25.0300","94.0000","90","1 µF","TopLayer"
"C12","C_0603_TE","43.7000","43.7000","28.9000","28.9000","42.9300","28.9000","90","100 nF","TopLayer"
"C11","C_0603_TE","25.8000","25.8000","83.7000","83.7000","26.5700","83.7000","270","100 nF","TopLayer"
"C10","C_0603_TE","25.8000","25.8000","92.7000","92.7000","26.5700","92.7000","270","100 nF","TopLayer"
"C9","C_0603_TE","104.9000","104.9000","21.0000","21.0000","104.1300","21.0000","90","100 nF","TopLayer"
"C8","C_0603_TE","104.9000","104.9000","65.0000","65.0000","104.1300","65.0000","90","100 nF","TopLayer"
"C7","C_0603_TE","99.0000","99.0000","21.0000","21.0000","99.7700","21.0000","270","100 nF","TopLayer"
